This is colorSpec.  Version: 1.2-1.  Author: Glenn Davis [aut, cre].  Built: R 4.0.3; ; 2020-11-24 03:42:15 UTC; unix
BEGIN_SCANNER_ACES
Wavelength,r,g,b
662,0.00684286748732802,0,0
664,0.00758188865698343,0,0
666,0.00842100779486306,0,0
668,0.00934105720492397,0,0
670,0.0103186097031137,0,0
672,0.0113664437534608,0,0
674,0.0124952080759893,0,0
676,0.0136686970226179,0,0
678,0.0148592239212847,0,0
680,0.0160305831239085,0,0
682,0.0172764833666993,0,0
684,0.0185862759296333,0,0
686,0.0197831920603144,0,0
688,0.0207032414703753,0,0
690,0.0211909528474677,0,0
692,0.0212974400477063,0,0
694,0.0211440984793628,0,0
696,0.0206883332623419,0,0
698,0.0198832900285386,0,0
700,0.018690633385867,0,0
702,0.0170315628061507,0,0
704,0.0150040465136091,0,0
706,0.0128380968607573,0,0
708,0.0107530774800869,0,0
710,0.00895131405205095,0,0
712,0.00744984452868765,0,0
714,0.00612514375772032,0,0
716,0.00494952506708694,0,0
718,0.00390595050474933,0,0
720,0.0029731226306598,0,0
722,0.0020956681006943,0,0
724,0.00128423563487669,0,0
726,0.000615496017378711,0,0
728,0.000163990288367338,0,0
END_SCANNER_ACES
